CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
11001006400,District of Columbia,District of Columbia,2130,826,1304,4,8.4,84.8,0.3,2.5,0,1703,22969,5994,20124,4122,44.3,59.4,37.5,26.9,26.2,1.2,8.2,31.3,3.4,34.4,16.5,6.8,7.6,29.9,672,80.5,17.9,1.6,0,18.9
11001006500,District of Columbia,District of Columbia,2583,1208,1375,10,74.5,11.8,0,2.2,0,2133,128750,28752,76326,8026,8.2,3.3,77.6,6.7,15.3,0.4,0,13.8,4.3,45.4,26,2.3,8.2,22.9,1956,57.1,38.6,4.3,0,3
11001006600,District of Columbia,District of Columbia,1904,895,1009,3.8,84.9,3.6,2.1,4.8,0,1542,143485,14771,92827,14887,2.6,0,87.9,3.4,7.4,0.6,0.7,24.3,2.4,41.3,17.6,5.7,8.7,25.8,1316,62.8,31.8,5.4,0,4
11001006700,District of Columbia,District of Columbia,4213,1922,2291,3.2,77.6,13.7,0,3.4,0,3522,136797,10998,84221,8316,3.9,0,86.5,2.6,10.1,0.4,0.5,28.6,7.1,43.8,5.9,6.1,8.5,27.8,2826,58.4,34.6,7,0,3
11001006801,District of Columbia,District of Columbia,2017,1062,955,2.7,36.2,56.3,0,2.6,0,1756,75742,7463,47228,6403,10.1,19.6,60.1,13.6,19.4,2.8,4.1,42.8,1.7,44.2,4.2,4.5,2.6,29.8,1257,60,36.9,3.1,0,10
11001006802,District of Columbia,District of Columbia,2342,1139,1203,5.8,51,35.9,0.9,1.2,0,1864,113250,16694,54623,5760,10.8,9.3,75.2,8.7,12.9,0.2,3,36.7,2.3,48.7,1,4.2,7.1,29.6,1345,63.6,33.5,2.9,0,9.9
11001006804,District of Columbia,District of Columbia,2949,2747,202,3.9,3.2,91.5,0,0,0,2749,,,4691,1189,90.8,,36.4,63.6,0,0,0,0,0,36.4,63.6,0,0,,11,100,0,0,0,54.2
11001006900,District of Columbia,District of Columbia,2181,1006,1175,4.2,69,23.9,0,2,0,1823,108571,21055,71766,6275,3.9,0,76.9,4.6,13.5,4.2,0.8,39.3,0,40.7,5.6,8,6.5,28.2,1557,53.9,41.9,4.1,0,1.6
11001007000,District of Columbia,District of Columbia,2794,1582,1212,11.1,66.1,13.3,0,1.1,0,2385,112096,8061,66547,10009,5.2,0,85.2,7.6,7.2,0,0,25.9,3.4,23.8,33.4,5.4,8,21.1,1476,58.8,33.4,7.8,0,3.5
11001007100,District of Columbia,District of Columbia,3064,1435,1629,1.9,37.9,55.8,0,1.3,0,2300,72904,19752,42733,7692,25,34.2,76.2,10.6,12.4,0.7,0.1,23.1,7.6,51.5,8.7,1.2,7.9,27,1362,71.1,26.4,2.5,0,14
